Errors,
0.298371, 
0.287331, 
0.275995, 
0.264415, 
0.252655, 
0.24079, 
0.228901, 
0.217078, 
0.205408, 
0.19398, 
0.182873, 
0.172159, 
0.161898, 
0.152134, 
0.142898, 
0.13421, 
0.126074, 
0.118484, 
0.111428, 
0.104884, 
0.0988274, 
0.0932292, 
0.0880595, 
0.0832876, 
0.0788832, 
0.0748172, 
0.0710615, 
0.0675899, 
0.064378, 
0.0614031, 
0.0586447, 
0.0560836, 
0.0537027, 
0.0514863, 
0.04942, 
0.0474911, 
0.0456879, 
0.0439997, 
0.0424171, 
0.0409314, 
0.0395348, 
0.0382203, 
0.0369813, 
0.035812, 
0.0347073, 
0.0336622, 
0.0326724, 
0.0317339, 
0.030843, 
0.0299965, 
