Errors,
0.298371, 
0.294708, 
0.29101, 
0.287277, 
0.283512, 
0.279716, 
0.275892, 
0.272042, 
0.268168, 
0.264273, 
0.260359, 
0.256429, 
0.252486, 
0.248532, 
0.244571, 
0.240607, 
0.236641, 
0.232678, 
0.22872, 
0.224772, 
0.220836, 
0.216915, 
0.213014, 
0.209134, 
0.20528, 
0.201455, 
0.19766, 
0.193901, 
0.190178, 
0.186495, 
0.182855, 
0.179259, 
0.17571, 
0.17221, 
0.168762, 
0.165365, 
0.162024, 
0.158737, 
0.155508, 
0.152336, 
0.149223, 
0.14617, 
0.143177, 
0.140244, 
0.137371, 
0.13456, 
0.131809, 
0.129119, 
0.12649, 
0.12392, 
